,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text,full_text_file,url
1213,xfoqd6uk,815f653470c57a95b92e3857d8f5d038b4000d99,biorxiv,Processing of the SARS-CoV pp1a/ab nsp7-10 region,10.1101/860049,,,biorxiv,"1.1.AbstractSevere acute respiratory syndrome coronavirus (SARS-CoV) is the causative agent of a respiratory disease with a high case fatality rate. During the formation of the coronaviral replication/transcription complex (RTC), essential steps include processing of the conserved polyprotein nsp7-10 region by the main protease Mpro and subsequent complex formation of the released nsp’s. Here, we analyzed processing of the coronavirus nsp7-10 region using native mass spectrometry showing consumption of substrate, rise and fall of intermediate products and complexation. Importantly, there is a clear order of cleavage efficiencies, which is influenced by the polyprotein tertiary structure. Furthermore, the predominant product is an nsp7+8(2:2) hetero-tetramer with nsp8 scaffold. In conclusion, native MS, opposed to other methods, can expose the processing dynamics of viral polyproteins and the landscape of protein interactions in one set of experiments. Thereby, new insights into protein interactions, essential for generation of viral progeny, were provided, with relevance for development of antivirals.",12/3/19,Boris Krichel; Sven Falke; Rolf Hilgenfeld; Lars Redecke; Charlotte Uetrecht,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/860049
931,6s27v6at,58bc0f2712ea1ced1f886c9fdd17b8cf014e66cb,biorxiv,The Influence Of Social Behavior On Competition Between Virulent Pathogen Strains,10.1101/293936,,,biorxiv,"1AbstractInfectious disease interventions like contact precautions and vaccination have proven effective in disease control and elimination. The priority given to interventions can depend strongly on how virulent the pathogen is, and interventions may also depend partly for their success on social processes that respond adaptively to disease dynamics. However, mathematical models of competition between pathogen strains with differing natural history profiles typically assume that human behaviour is fixed. Here, our objective is to model the influence of social behaviour on the competition between pathogen strains with differing virulence. We couple a compartmental Susceptible-Infectious-Recovered model for a resident pathogen strain and a mutant strain with higher virulence, with a differential equation of a population where individuals learn to adopt protective behaviour from others according to the prevalence of infection of the two strains and the perceived severity of the respective strains in the population. We perform invasion analysis, time series analysis and phase plane analysis to show that perceived severities of pathogen strains and the efficacy of infection control against them can greatly impact the invasion of more virulent strain. We demonstrate that adaptive social behaviour enables invasion of the mutant strain under plausible epidemiological scenarios, even when the mutant strain has a lower basic reproductive number than the resident strain. Surprisingly, in some situations, increasing the perceived severity of the resident strain can facilitate invasion of the more virulent mutant strain. Our results demonstrate that for certain applications, it may be necessary to include adaptive social behaviour in models of the emergence of virulent pathogens, so that the models can better assist public health efforts to control infectious diseases.",4/4/18,Joe Pharaon; Chris T. Bauch,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/293936
1203,03uonbrv,30457ee3ce0001f33938fbc246b4ce4eacd74f5d,biorxiv,ZODIAC: database-independent molecular formula annotation using Gibbs sampling reveals unknown small molecules,10.1101/842740,,,biorxiv,"1AbstractThe confident high-throughput identification of small molecules remains one of the most challenging tasks in mass spectrometry-based metabolomics. SIRIUS has become a powerful tool for the interpretation of tandem mass spectra, and shows outstanding performance for identifying the molecular formula of a query compound, being the first step of structure identification. Nevertheless, the identification of both molecular formulas for large compounds above 500 Daltons and novel molecular formulas remains highly challenging. Here, we present ZODIAC, a network-based algorithm for the de novo estimation of molecular formulas. ZODIAC reranks SIRIUS’ molecular formula candidates, combining fragmentation tree computation with Bayesian statistics using Gibbs sampling. Through careful algorithm engineering, ZODIAC’s Gibbs sampling is very swift in practice. ZODIAC decreases incorrect annotations 16.2-fold on a challenging plant extract dataset with most compounds above 700 Dalton; we then show improvements on four additional, diverse datasets. Our analysis led to the discovery of compounds with novel molecular formulas such as C24H47BrNO8P which, as of today, is not present in any publicly available molecular structure databases.",11/16/19,Marcus Ludwig; Louis-Félix Nothias; Kai Dührkop; Irina Koester; Markus Fleischauer; Martin A. Hoffmann; Daniel Petras; Fernando Vargas; Mustafa Morsy; Lihini Aluwihare; Pieter C. Dorrestein; Sebastian Böcker,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/842740
365,nbu6bsb3,7207df5b61e93fa5a2b6e720c91aed05270e81be,biorxiv,A simple magnetic nanoparticles-based viral RNA extraction method for efficient detection of SARS-CoV-2,10.1101/2020.02.22.961268,,,biorxiv,"1AbstractThe ongoing outbreak of the novel coronavirus disease 2019 (COVID-19) originating from Wuhan, China, draws worldwide concerns due to its long incubation period and strong infectivity. Although RT-PCR-based molecular diagnosis techniques are being widely applied for clinical diagnosis currently, timely and accurate diagnosis are still limited due to labour intensive and time-consuming operations of these techniques. To address the issue, herein we report the synthesis of poly (amino ester) with carboxyl groups (PC)-coated magnetic nanoparticles (pcMNPs), and the development of pcMNPs-based viral RNA extraction method for the sensitive detection of COVID-19 causing virus, the SARS-CoV-2. This method combines the lysis and binding steps into one step, and the pcMNPs-RNA complexes can be directly introduced into subsequent RT-PCR reactions. The simplified process can purify viral RNA from multiple samples within 20 min using a simple manual method or an automated high-throughput approach. By identifying two different regions (ORFlab and N gene) of viral RNA, a 10-copy sensitivity and a strong linear correlation between 10 and 105 copies of SARS-CoV-2 pseudovirus particles are achieved. Benefitting from the simplicity and excellent performances, this new extraction method can dramatically reduce the turn-around time and operational requirements in current molecular diagnosis of COVID-19, in particular for the early clinical diagnosis.",2/27/20,Zhen Zhao; Haodong Cui; Wenxing Song; Xiaoling Ru; Wenhua Zhou; Xuefeng Yu,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.22.961268
727,xqs4baou,98629ae2533d73afbb0f5ef9d0cc813bf3afa851,medrxiv,Analysis of Epidemic Situation of New Coronavirus Infection at Home and Abroad Based on Rescaled Range (R/S) Method,10.1101/2020.03.15.20036756,,,medrvix,"1Summary 1.1 Background The outbreak of the new coronavirus infection broke out in Wuhan City, Hubei Province in December 2019, and has spread to 97 countries and regions around the world. Apart from China, there are currently three other severely affected areas, namely Italy, South Korea, and Iran. This poses a huge threat to China's and even global public health security, challenges scientific research work such as disease surveillance and tracking, clinical treatment, and vaccine development, and it also brings huge uncertainty to the global economy. As of March 11, 2020, the epidemic situation in China is nearing its end, but the epidemic situation abroad is in the outbreak period. Italy has even taken measures to close the city nationwide, with a total of 118,020 cases of infection worldwide. 1.2 Method This article selects the data of newly confirmed cases of COVID-19 at home and abroad as the data sample. Among them: the data of newly confirmed cases abroad is represented by Italy, and the span is from February 13 to March 10. The data of newly confirmed cases at home are divided into two parts: Hubei Province and other provinces except Hubei Province, spanning from January 23 to March 3, and with February 12 as the cutting point, it is divided into two periods, the growth period and the recession period. The rescaled range (R / S) analysis method and the dimensionless fractal Hurst exponent are used to measure the correlation of time series to determine whether the time series conforms to the fractal Brownian motion, that is, a biased random process. Contrast analysis of the meaning of H value in different stages and different overall H values in the same stage. 1.3 Results Based on R / S analysis and calculated Hurst value of newly confirmed cases in Hubei and non-Hubei provinces, it was found that the H value of Hubei Province in the first stage was 0.574, which is greater than 0.5, indicating that the future time series has a positive correlation and Fractal characteristics; The H value in the second stage is 1.368, which is greater than 1, which indicates that the future epidemic situation is completely preventable and controllable, and the second stage has a downward trend characteristic, which indicates that there is a high probability that the future time series will decline. The H values of the first and second stages of non-Hubei Province are 0.223 and 0.387, respectively, which are both less than 0.5, indicating that the time series of confirmed cases in the future is likely to return to historical points, and the H value in the second stage is greater than that in the first stage, indicating that the time series of confirmed cases in the second stage is more long-term memory than the time series of confirmed cases in the first stage. The daily absolute number of newly confirmed cases in Italy was converted to the daily growth rate of confirmed cases to eliminate the volatility of the data. The H value was 1.853, which was greater than 1, indicating that the time series of future confirmed cases is similar to the trend of historical changes. The daily rate of change in cases will continue to rise. 1.4 Conclusion According to the different interpretation of the H value obtained by the R / S analysis method, hierarchical isolation measures are adopted accordingly. When the H value is greater than 0.5, it indicates that the development of the epidemic situation in the area has more long-term memory, that is, when the number of confirmed cases in the past increases rapidly, the probability of the time series of confirmed cases in the future will continue the historical trend. Therefore, it is necessary to formulate strict anti-epidemic measures in accordance with the actual conditions of various countries, to detect, isolate, and treat early to reduce the base of infectious agents.",3/20/20,Xiaofeng Ji; Zhou Tang; Kejian Wang; Xianbin Li; Houqiang Li,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.15.20036756
2070,0rkvacwe,,WHO,Emergency response plan for the neonatal intensive care unit during epidemic of 2019 novel coronavirus,,,32051072,unk,"2019 novel coronavirus (2019-nCoV) infection has been spreading in China since December 2019. Neonates are presumably the high-risk population susceptible to 2019-nCoV due to immature immune function. The neonatal intensive care unit (NICU) should be prepared for 2019-nCoV infections as far as possible. The emergency response plan enables the efficient response capability of NICU. During the epidemic of 2019-nCoV, the emergency response plan for the NICU should be based on the actual situation, including diagnosis, isolation, and treatment, as well as available equipment and staffing, and take into account the psychosocial needs of the families and neonatal care staff.",2020,"Pediatric Committee, Medical Association of Chinese People′s Liberation Army; Editorial Committee of Chinese Journal of Contemporary, Pediatrics",Zhongguo Dang Dai Er Ke Za Zhi,,#812,FALSE,,https://www.ncbi.nlm.nih.gov/pubmed/32051072/
2089,stnjl8f8,,WHO,Current status of treatment for 2019 novel coronavirus pneumonia,,,,unk,"2019 novel coronavirus (2019-nCoV) is a new member of coronavirus family that can cause serious respiratory diseases after the emergence of severe acute respiratory syndrome-coronavirus (SARS-CoV) and middle east respiratory syndrome-coronavirus (MERS-CoV). At present, there is no specific antiviral drug targeting 2019-nCoV. In facing of the increasingly serious epidemic of 2019 novel coronavirus pneumonia and the urgent needs in drug treatment strategies, this paper reviewed the current research situation and progress in antiviral treatment for the newly identified disease.",2020,"ZHU, Naiwei; ZHAO, Ping; QI, Zhongtian",Chinese Journal of Microbiology and Immunology,,#2040,FALSE,,
1971,9396kvh7,,WHO,[Recommendations for the regulation of medical practices of burn treatment during the outbreak of the coronavirus disease 2019],10.3760/cma.j.cn501120-20200224-00083,,32111114,unk,"2019 novel coronavirus (2019-nCoV) is one of the beta coronaviruses and was identified as the pathogen of the severe ""coronavirus disease 2019 (COVID-19)"" in 2019. China has formally included the 2019-nCoV in the statutory notification and control system for infectious diseases according to the Law of the People's Republic of China on the Prevention and Treatment of Infectious Diseases. Currently, the national defending actions on the 2019-nCoV in China is in a critical period. Burn Department is also confronted with risk of infection by the 2019-nCoV. According to the guidelines on the diagnosis and treatment of COVID-19 (6(th) trial edition), the latest relative literature at home and abroad, the features of the COVID-19, recommendations for the COVID-19 prevention and control issued by the National Health Commission of China, and management experience of diagnosis and treatment in the related disciplines, we put forward recommendations for the medical practices of burn treatment during the outbreak of the COVID-19 in outpatient and emergency treatment, inpatient treatment, operation and ward management, etc. We hope these recommendations could benefit the professionals of the same occupation as us and related hospital managers, improve the treatment of burn during the outbreak of the COVID-19, and avoid or reduce the risk of infection of medical staff .",2020,"Ma, S. Y.; Yuan, Z. Q.; Peng, Y. Z.; Luo, Q. Z.; Song, H. P.; Xiang, F.; Tan, J. L.; Zhou, J. Y.; Li, N.; Hu, G. Z.; Luo, G. X.",Zhonghua shao shang za zhi = Zhonghua shaoshang zazhi = Chinese journal of burns,2773264689,#2897,FALSE,,https://doi.org/10.3760/cma.j.cn501120-20200224-00083
1366,frkk6w0a,,WHO,The transmission and diagnosis of 2019 novel coronavirus infection disease (COVID-19): A Chinese perspective,10.1002/jmv.25749,,32141619,unk,"2019 novel coronavirus (SARS-CoV-2), which originated in Wuhan, China, has attracted the world's attention over the last month. The Chinese government has taken emergency measures to control the outbreak and has undertaken initial steps in the diagnosis and treatment of 2019 novel coronavirus infection disease (COVID-19). However, SARS-CoV-2 possesses powerful pathogenicity as well as transmissibility and still holds many mysteries that are yet to be solved, such as whether the virus can be transmitted by asymptomatic patients or by mothers to their infants. Our research presents selected available cases of COVID-19 in China to better understand the transmission and diagnosis regarding this infectious disease. This article is protected by copyright. All rights reserved.",3/12/20,"Han, Y.; Yang, H.",Journal of Medical Virology,3005036059,#4709,FALSE,,https://doi.org/10.1002/jmv.25749
292,ic2h01gm,6186828135d9e5e7e50f66567505d02e910b3ee2,medrxiv,Association between 2019-nCoV transmission and N95 respirator use,10.1101/2020.02.18.20021881,,,medrvix,"2019-nCoV had caused pneumonia outbreak in Wuhan. Existing evidence have confirmed the human-to-human transmission of 2019-nCoV. We retrospectively collected infection data from 2 January to 22 January at six departments from Zhongnan Hospital of Wuhan University. In our study, we found N95 respirators, disinfection and hand washing can help to reduce the risk of 2019-nCoV infection in medical staffs. Our results call for re-emphasizing strict occupational protection code in battling this novel contagious disease. The risk of 2019-nCoV infection was higher in the open area than in the quarantined area. N95 may be more effective for 2019-nCoV infections.",2/19/20,Xinghuan Wang; Zhenyu Pan; Zhenshun Cheng,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.18.20021881
